,commune,district,province
0,Hòa Khánh Bắc,Liên Chiểu,Đà Nẵng
1,Thanh Bình,Hải Châu,Đà Nẵng
2,Quảng Phú,TP. Quảng Ngãi,Quảng Ngãi
3,Hòa Cường Nam,Hải Châu,Đà Nẵng
4,Tam Thuận,Thanh Khê,Đà Nẵng
5,Hòa Minh,Liên Chiểu,Đà Nẵng
6,Hòa Châu,Hòa Vang,Đà Nẵng
7,Hòa Khê,Thanh Khê,Đà Nẵng
8,Điện Hoà,Điện Bàn,Quảng Nam
9,Hòa Khương,Hòa Vang,Đà Nẵng
10,Hòa Phú,Hòa Vang,Đà Nẵng
11,Minh An,Hội An,Quảng Nam
12,Hoà Hiệp Bắc,Liên Chiểu,Đà Nẵng
13,Hải Châu 2,Hải Châu,Đà Nẵng
14,Hòa Khánh Bắc,Liên Chiểu,Đà Nẵng
15,Ái Nghĩa,Đại Lộc,Quảng Nam
16,Điện Thọ,Điện Bàn,Quảng Nam
17,An Hải Đông,Sơn Trà,Đà Nẵng
18,An Hải Đông,Sơn Trà,Đà Nẵng
19,Điện Trung,Điện Bàn,Quảng Nam
20,Hòa An,Cẩm Lệ,Đà Nẵng
21,Tam Thuận,Thanh Khê,Đà Nẵng
22,Thanh Khê Tây,Thanh Khê,Đà Nẵng
23,Đại Hồng,Đại Lộc,Quảng Nam
24,Ba Tô,Ba Tơ,Quảng Ngãi
25,Hòa Hải,Ngũ Hành Sơn,Đà Nẵng
26,Điện Trung,Điện Bàn,Quảng Nam
27,Hòa Sơn,Hòa Vang,Đà Nẵng
28,Hòa Thuận Đông,Hải Châu,Đà Nẵng
29,Hòa An,Cẩm Lệ,Đà Nẵng
30,Mễ Trì Thượng,Mễ Trì,Hà Nội
31,Ea Tiêu,Cư Kuin,Đắk Lắk
32,Hòa Khánh Bắc,Liên Chiểu,Đà Nẵng
33,Hòa Khánh Bắc,Liên Chiểu,Đà Nẵng
34,Hòa Châu,Hòa Vang,Đà Nẵng
35,Điện Trung,Điện Bàn,Quảng Nam
36,Mỹ An,Ngũ Hành Sơn,Đà Nẵng
37,Bình Hiên,Hải Châu,Đà Nẵng
38,Hòa Cường Bắc,Hải Châu,Đà Nẵng
39,Thạch Thang,Hải Châu,Đà Nẵng
40,Hải Châu 1,Hải Châu,Đà Nẵng
41,Hòa Phong,Hòa Vang,Đà Nẵng
42,Bưởi,Tây Hồ,Hà Nội
